First Name,Gender,Salary,Bonus %,Senior Management,Team
Barbara,,90556,15.749,TRUE,Distribution
Christine,,50366,9.862,TRUE,Marketing
Bobby,,84232,15.704,TRUE,Engineering
Carl,,100888,12.49,TRUE,Business Development
Bruce,Male,141335,15.427,TRUE,Engineering
Rose,Female,97691,2.142,FALSE,Client Services
Mildred,Female,47266,10.256,FALSE,Client Services
,Male,139754,12.74,,Sales
,Female,116236,17.274,,Engineering
Todd,Male,103405,15.91,FALSE,Sales
Alan,Male,41453,10.084,FALSE,Product
Elizabeth,,52730,12.525,FALSE,Marketing
Julie,,60361,7.099,TRUE,Distribution
Teresa,,63103,11.378,FALSE,Finance
Eric,Male,65168,11.513,FALSE,Distribution
Edward,Male,73105,6.083,TRUE,Engineering
Kimberly,Female,37916,12.929,TRUE,Distribution
Kathy,Female,45682,1.451,TRUE,Marketing
Peter,Male,69297,1.268,FALSE,Finance
Beverly,Female,59070,19.064,TRUE,Engineering
Ralph,Male,81215,8.4,FALSE,Finance
Justin,Male,128036,18.824,FALSE,Client Services
Irene,Female,89780,8.999,TRUE,Sales
Irene,Female,125018,9.601,TRUE,Legal
Jeremy,Male,133033,12.2,FALSE,Sales
Cynthia,Female,82408,8.701,TRUE,Marketing
,Female,131755,2.93,,
Anne,Female,128305,16.636,FALSE,Marketing
,,147309,1.702,,Distribution
Debra,Female,74911,19.513,FALSE,Marketing
Michael,Male,47079,2.617,FALSE,Legal
Jason,,82873,1.869,FALSE,Client Services
Rebecca,Female,134673,6.878,FALSE,Engineering
Andrea,Female,123591,6.5,TRUE,Engineering
Carl,Male,75598,19.289,FALSE,
Randy,Male,89831,13.047,TRUE,
Marilyn,Female,92430,2.924,FALSE,Engineering
Wayne,Male,126956,18.396,FALSE,Human Resources
Frances,Female,112467,1.433,FALSE,Business Development
Amanda,,46665,19.391,TRUE,Client Services
Kathleen,Female,42553,3.756,TRUE,Distribution
Amanda,Female,102081,5.203,FALSE,Sales
Amanda,,135118,15.108,FALSE,Finance
Shawn,Male,71975,9.77,FALSE,Human Resources
Katherine,Female,149908,18.912,FALSE,Finance
Anna,,45418,10.162,FALSE,Marketing
Elizabeth,Female,79145,19.78,FALSE,Finance
Donald,Male,122920,5.32,FALSE,
Gregory,Male,128031,15.857,TRUE,Business Development
Ruth,Female,59969,14.064,TRUE,Finance
Cynthia,Female,35381,11.749,FALSE,Finance
Deborah,Female,113129,17.371,FALSE,Client Services
Willie,Male,141932,1.017,TRUE,Engineering
Debra,Female,42296,16.922,FALSE,Product
Carl,Male,63395,11.411,FALSE,Legal
Walter,Male,125382,13.613,TRUE,Client Services
Lisa,Female,113592,17.108,TRUE,Marketing
Rebecca,Female,46750,11.367,TRUE,Sales
Jessica,Female,90285,13.591,TRUE,Client Services
Steve,,53692,4.785,TRUE,Marketing
Mary,,100341,6.662,FALSE,Distribution
Craig,Male,123876,4.225,FALSE,Engineering
Katherine,Female,41643,4.659,TRUE,Distribution
Andrea,Female,113760,12.866,TRUE,Distribution
Timothy,Male,49473,12.463,FALSE,Legal
Anthony,Male,146141,3.645,TRUE,Distribution
Harold,,79459,7.776,TRUE,Business Development
Douglas,,104496,14.771,TRUE,Marketing
James,Male,67789,17.105,TRUE,Legal
Joseph,,86564,11.879,TRUE,
Martha,Female,135758,14.782,TRUE,Client Services
Laura,Female,84672,3.96,FALSE,Distribution
Robert,Male,111580,10.982,FALSE,Human Resources
Ralph,Male,50455,16.248,FALSE,Business Development
,Male,88733,1.932,,Human Resources
Diane,Female,130577,12.791,FALSE,Marketing
Annie,Female,138925,9.801,TRUE,Marketing
Jacqueline,Female,62371,15.77,TRUE,Client Services
Brenda,Female,87715,2.675,FALSE,Product
Lori,Female,66029,3.345,TRUE,Client Services
Albert,Male,86818,14.301,TRUE,Engineering
Frank,Male,75147,17.398,FALSE,Product
Deborah,Female,105573,5.268,TRUE,Product
Robin,,41230,6.611,TRUE,Distribution
Alice,Female,117787,10.485,FALSE,
,Male,88086,19.387,,Finance
Paul,,91462,18.704,FALSE,Finance
,Male,139959,8.992,,Distribution
Brian,Male,93901,17.821,TRUE,Legal
Julie,,50529,17.263,FALSE,Finance
Bruce,Male,134988,13.926,TRUE,Sales
Joan,Female,120941,3.694,TRUE,Finance
Harold,Male,118753,8.162,FALSE,Sales
Alice,Female,92799,2.782,FALSE,Sales
Barbara,Female,85718,13.326,FALSE,Client Services
Sarah,Female,109517,5.146,FALSE,Human Resources
Samuel,Male,85550,11.593,TRUE,Marketing
,Male,136655,9.801,,Distribution
Barbara,,43312,8.218,TRUE,Legal
Amy,,102839,10.385,TRUE,Distribution
Frank,Male,78891,7.927,TRUE,Distribution
Robin,,93201,11.712,TRUE,Legal
Debra,Female,84693,6.976,TRUE,Finance
Brandon,,73587,9.769,TRUE,Human Resources
Thomas,Male,65251,11.211,FALSE,Distribution
Harry,Male,129148,15.193,TRUE,Engineering
Todd,Male,128175,18.473,TRUE,
Patricia,Female,75825,7.839,FALSE,Engineering
Steve,Male,51821,1.197,TRUE,Legal
,Male,60411,12.048,,Human Resources
Edward,Male,58327,17.095,TRUE,Finance
Karen,Female,46478,16.552,FALSE,Engineering
Martin,,123963,15.745,TRUE,Engineering
Ann,Female,79796,9.851,FALSE,Distribution
Jonathan,Male,83809,12.922,FALSE,Distribution
Peter,Male,77933,13.132,TRUE,Engineering
Eric,Male,51070,13.806,TRUE,Business Development
Jason,,97480,11.518,FALSE,Human Resources
Terry,Male,58357,7.969,FALSE,Engineering
John,Male,67165,13.001,FALSE,Engineering
Marie,Female,145988,18.685,TRUE,Human Resources
Harold,Male,147417,11.626,TRUE,Business Development
Joshua,Male,95003,5.197,TRUE,Marketing
Brandon,,144187,11.416,TRUE,Legal
Andrea,Female,37888,13.47,FALSE,Engineering
Jeremy,Male,131513,1.876,TRUE,Finance
Daniel,Male,77287,13,TRUE,
Roy,Male,46875,12.942,TRUE,Sales
Dorothy,Female,82744,19.111,TRUE,Client Services
Steven,Male,43252,18.892,FALSE,Client Services
Nicole,Female,66047,18.674,TRUE,Marketing
Ann,Female,118431,12.772,TRUE,Finance
Henry,Male,59943,1.432,FALSE,Finance
,Male,136681,3.655,,Business Development
,Female,138807,1.4,,Human Resources
Barbara,Female,82884,6.837,TRUE,Business Development
Judy,Female,48668,11.716,TRUE,Product
Lawrence,Male,122971,14.618,FALSE,Product
Joseph,Male,107050,12.737,FALSE,Business Development
Carlos,Male,138598,14.737,FALSE,Sales
Russell,,149456,3.533,FALSE,Marketing
Jane,Female,128540,15.941,FALSE,Legal
Martin,Male,61117,2.844,FALSE,Client Services
Steven,Male,100949,13.813,TRUE,Human Resources
Judy,,46829,5.19,TRUE,Finance
James,Male,69111,14.625,TRUE,Business Development
Gloria,Female,46602,1.027,TRUE,Business Development
Ernest,Male,61181,16.559,FALSE,Business Development
Martha,Female,94963,19.626,TRUE,Business Development
Janet,,85789,9.712,FALSE,Legal
Louis,,145274,16.379,FALSE,Product
Tina,Female,102841,3.369,FALSE,Client Services
Henry,Male,49665,18.338,FALSE,Business Development
Antonio,Male,41928,5.478,TRUE,
Lisa,Female,128042,2.03,TRUE,Legal
Denise,Female,86150,3.997,FALSE,Client Services
Stephen,Male,121816,10.615,TRUE,Distribution
Benjamin,Male,123409,7.783,FALSE,Product
Carl,,98295,7.617,TRUE,Legal
Ruth,Female,59678,10.895,FALSE,Distribution
Shawn,Male,57871,4.02,TRUE,Human Resources
Jennifer,Female,132084,10.006,TRUE,Engineering
Terry,Male,35633,3.947,TRUE,Distribution
Jacqueline,Female,125298,3.019,TRUE,Legal
Roger,Male,115582,15.343,TRUE,Sales
Alice,,148339,11.479,TRUE,Finance
Justin,Male,112975,9.699,FALSE,Human Resources
Janet,Female,36927,18.769,FALSE,Client Services
Robin,Female,70248,9.66,TRUE,Sales
Samuel,,141305,9.849,TRUE,Marketing
Katherine,Female,72002,13.178,TRUE,Product
Peter,Male,102577,12.026,TRUE,Product
Lillian,Female,113554,18.018,TRUE,Business Development
,Male,47176,10.736,,Finance
,Female,106428,10.867,,
Rose,Female,75181,6.06,TRUE,Finance
Bobby,Male,79047,18.784,FALSE,Human Resources
Kimberly,Female,52970,4.513,FALSE,Sales
Antonio,Male,137979,5.266,FALSE,Distribution
Doris,Female,114360,17.799,TRUE,Business Development
Steven,Male,110306,16.843,TRUE,Human Resources
Lawrence,Male,46378,9.127,FALSE,
,Male,74104,17.68,,Client Services
,,132505,13.592,,Product
Stephanie,Female,96649,3.453,FALSE,Sales
,Female,57811,8.941,,Marketing
Sandra,Female,111468,2.58,TRUE,Product
Kevin,Male,141498,4.135,TRUE,Sales
Michelle,,124441,16.353,FALSE,Business Development
Lisa,Female,40121,6.293,FALSE,Product
Fred,Male,129712,11.058,FALSE,Finance
Joseph,Male,126010,19.601,FALSE,Legal
Anne,,122762,9.564,FALSE,Distribution
Andrea,Female,149105,13.707,TRUE,Distribution
Nicole,Female,44021,10.286,FALSE,
Theresa,,42025,3.319,TRUE,Human Resources
Catherine,Female,59970,12.801,FALSE,Client Services
Rose,Female,145001,19.85,FALSE,Engineering
Lawrence,Male,102589,17.952,TRUE,Marketing
Raymond,Male,47529,2.712,TRUE,Product
Clarence,Male,148941,11.517,FALSE,Product
Ryan,Male,91109,17.499,TRUE,Human Resources
Jane,Female,51923,13.623,FALSE,Business Development
Lois,Female,53954,19.075,FALSE,Product
Shawn,Male,39335,10.664,FALSE,Distribution
Thomas,Male,111371,15.081,TRUE,Engineering
Kathryn,Female,86676,6.081,FALSE,Sales
Mary,Female,115057,2.089,FALSE,Finance
Julie,Female,145357,3.459,FALSE,Engineering
George,Male,36749,19.754,FALSE,Finance
Ralph,Male,89854,7.227,FALSE,Business Development
Judith,Female,134048,6.818,TRUE,Marketing
,Male,141311,5.478,,Product
Evelyn,Female,123621,19.767,TRUE,Marketing
Rachel,Female,54941,3.221,TRUE,Distribution
Maria,,106562,4,FALSE,Human Resources
Kelly,Female,39371,4.068,FALSE,Engineering
Ruby,Female,83112,4.083,FALSE,Marketing
Ann,Female,96941,10.048,TRUE,Distribution
Kenneth,Male,47232,17.862,TRUE,Legal
William,Male,54058,5.182,TRUE,Human Resources
,Female,80399,12.254,,Distribution
Deborah,Female,118043,7.266,TRUE,Business Development
,Male,109411,9.494,,Engineering
Julia,Female,97566,2.147,FALSE,Marketing
Robert,,69267,5.89,TRUE,Sales
,,87103,5.665,,
Jesse,,98811,7.487,FALSE,Legal
Cynthia,Female,149684,7.864,FALSE,Product
Johnny,Male,71383,2.097,TRUE,Human Resources
Michael,Male,81206,19.908,TRUE,Distribution
Kenneth,Male,69112,7.588,TRUE,Finance
Keith,Male,120672,19.467,FALSE,Legal
Gerald,Male,96511,9.331,FALSE,Human Resources
Carl,,49325,2.071,TRUE,Business Development
Douglas,Male,132175,2.28,FALSE,Engineering
Carolyn,Female,118037,13.492,FALSE,Finance
Joseph,Male,139570,15.804,TRUE,Finance
Billy,Male,115280,9.153,FALSE,Distribution
Joyce,Female,51065,16.807,FALSE,Human Resources
Lillian,Female,103854,4.924,TRUE,Distribution
Ruby,Female,48354,19.501,FALSE,Business Development
Sandra,Female,132327,19.264,FALSE,Product
Louise,Female,106362,8.965,FALSE,Sales
Maria,,148857,8.738,FALSE,Legal
Brenda,Female,131131,11.682,FALSE,Client Services
Stephen,Male,129663,15.574,FALSE,Human Resources
Nicole,,41449,4.707,FALSE,Finance
Bobby,Male,93368,2.88,TRUE,Product
Ernest,Male,53335,9.192,FALSE,Product
Charles,Male,148291,6.002,FALSE,
Bobby,Male,147842,16.158,TRUE,
Diana,Female,105066,17.343,TRUE,Business Development
Mildred,Female,139284,11.39,TRUE,
Harry,Male,63046,10.411,FALSE,Finance
Phillip,,89700,2.277,TRUE,
Bonnie,,108946,12.211,FALSE,Finance
Marie,Female,98406,7.943,TRUE,Product
Sean,Male,108581,9.634,FALSE,Human Resources
Robin,Female,41808,19.239,FALSE,Business Development
Phillip,Male,36837,14.66,FALSE,Marketing
Jerry,Male,140850,18.855,FALSE,Finance
Ronald,Male,50426,18.536,TRUE,Sales
Phillip,Male,134120,6.842,FALSE,Human Resources
Ryan,Male,57292,6.01,FALSE,
Karen,Female,80633,16.306,FALSE,Legal
Bonnie,Female,131943,14.249,FALSE,Client Services
Earl,Male,48046,7.737,FALSE,Marketing
Katherine,Female,97443,13.657,FALSE,Product
Matthew,Male,135352,7.986,TRUE,Business Development
Cynthia,,107816,18.751,FALSE,Marketing
Gerald,Male,96329,2.469,TRUE,Engineering
Brenda,Female,73749,19.332,FALSE,Business Development
Jason,Male,75607,4.299,TRUE,Sales
Melissa,Female,98858,3.525,TRUE,Human Resources
Beverly,Female,76485,9.212,TRUE,Engineering
Terry,,41238,8.219,FALSE,Marketing
,Male,114896,13.823,,Client Services
Jacqueline,Female,125418,8.064,FALSE,Distribution
Amy,Female,75415,19.132,FALSE,Client Services
Robert,,90998,8.382,FALSE,Finance
Ruby,Female,142868,6.318,FALSE,Marketing
Sara,,135990,14.344,TRUE,Distribution
Kathryn,Female,57300,18.015,FALSE,Marketing
Lisa,Female,73706,18.53,FALSE,Finance
Juan,Male,85871,9.16,FALSE,Product
Anthony,Male,96795,14.837,FALSE,Sales
David,Male,92242,15.407,FALSE,Legal
Marilyn,Female,115149,11.934,TRUE,Legal
Margaret,Female,126924,1.552,TRUE,Finance
,Male,145329,7.1,,Finance
Timothy,Male,92587,8.475,FALSE,Finance
Brandon,Male,60263,2.709,FALSE,Sales
Frank,Male,91406,5.681,TRUE,Business Development
Betty,Female,37005,7.645,TRUE,Marketing
Janice,,139791,16.968,FALSE,Business Development
Victor,Male,45267,3.942,TRUE,Sales
Kenneth,,95296,10.146,FALSE,Finance
Jane,Female,59680,15.211,TRUE,Business Development
Walter,Male,144701,16.323,TRUE,Marketing
Christina,Female,35477,18.178,FALSE,Human Resources
Patricia,Female,119266,6.911,FALSE,Distribution
,Male,103877,6.322,,Distribution
Heather,Female,47605,14.955,TRUE,Human Resources
Stephanie,Female,136604,6.16,TRUE,Human Resources
Alice,Female,121250,4.363,TRUE,Finance
Frances,Female,35884,17.667,FALSE,Sales
Elizabeth,Female,137144,10.081,FALSE,Finance
Janice,Female,102697,3.283,FALSE,Engineering
Donald,Male,61999,6.466,FALSE,Product
Melissa,Female,45223,8.879,TRUE,Legal
Carl,Male,54033,15.528,TRUE,Business Development
Joe,Male,126120,1.02,FALSE,
Lois,Female,99747,6.168,FALSE,Marketing
Ann,Female,71958,5.272,TRUE,Distribution
Todd,Male,115566,6.716,TRUE,Client Services
Marilyn,Female,118369,7.696,TRUE,Business Development
Shawn,Male,51667,6.339,FALSE,Product
Ryan,Male,85858,19.475,FALSE,Client Services
Sean,Male,131423,8.957,FALSE,Distribution
Rose,Female,49538,9.828,FALSE,Client Services
George,Male,50369,18.9,TRUE,Sales
Arthur,Male,86615,3.412,TRUE,Business Development
Irene,,135369,4.38,FALSE,Business Development
Deborah,Female,60003,9.624,FALSE,Client Services
,Female,95866,19.388,,Sales
Judith,Female,109324,19.488,FALSE,Distribution
Philip,Male,103557,16.014,TRUE,Business Development
Jeffrey,Male,111376,2.673,TRUE,Business Development
Theresa,Female,75661,1.079,TRUE,Legal
Nancy,Female,85213,2.386,TRUE,Marketing
Harold,Male,140444,3.771,FALSE,Distribution
Bonnie,Female,90427,2.01,TRUE,Client Services
Doris,Female,141439,3.799,FALSE,Business Development
Samuel,Male,43694,3.787,TRUE,Engineering
Alice,Female,131952,12.09,FALSE,Engineering
Maria,Female,96250,10.056,FALSE,Business Development
Aaron,,63126,18.424,FALSE,Client Services
Mark,,44836,2.657,FALSE,Client Services
Ralph,,70635,2.147,FALSE,Client Services
Andrew,Male,137386,8.611,TRUE,Distribution
William,Male,104840,15.653,TRUE,Engineering
Lori,Female,75498,6.537,TRUE,Marketing
Wayne,Male,67471,2.728,FALSE,Engineering
Kenneth,Male,101914,1.905,TRUE,Distribution
Gerald,,93712,17.426,TRUE,Distribution
,Female,133472,16.941,,Distribution
,Male,107351,5.329,,Marketing
Ashley,Female,142410,11.048,TRUE,Engineering
Scott,Male,37385,8.226,TRUE,Business Development
Paula,Female,58423,10.833,FALSE,Business Development
,Female,143638,9.662,,
Teresa,Female,113425,11.907,TRUE,Human Resources
Randy,Male,57266,14.077,FALSE,Product
Joe,Male,119667,1.148,TRUE,Finance
Sarah,Female,127118,11.176,FALSE,Legal
Beverly,Female,80838,8.115,FALSE,Engineering
Jeffrey,Male,70990,15.901,TRUE,Sales
Gloria,Female,39833,9.631,FALSE,Engineering
Albert,Male,45094,5.85,TRUE,Business Development
Stephen,Male,93997,18.093,TRUE,Business Development
Antonio,,103050,3.05,FALSE,Legal
Jonathan,Male,121797,16.923,FALSE,Product
Ann,Female,89443,17.94,TRUE,Sales
Bruce,Male,35802,12.391,TRUE,Sales
Catherine,Female,68164,18.393,FALSE,Client Services
Louis,Male,93022,9.146,TRUE,Human Resources
Thomas,Male,105681,19.572,FALSE,Engineering
Louise,Female,43050,11.671,FALSE,Distribution
Linda,Female,44486,17.308,TRUE,Engineering
Alice,Female,63571,15.397,TRUE,Product
Patrick,Male,75423,5.368,TRUE,Business Development
Victor,,76381,11.159,TRUE,Sales
Russell,Male,137359,11.105,FALSE,Business Development
Harry,Male,67656,16.455,TRUE,Client Services
Susan,Female,92436,12.467,FALSE,Sales
Denise,Female,137954,4.195,TRUE,Legal
Sarah,Female,124566,5.949,FALSE,Product
Sean,Male,66146,11.178,FALSE,Human Resources
Ernest,Male,142935,13.198,TRUE,Product
Kimberly,Female,46233,8.862,TRUE,Engineering
James,Male,148985,19.28,FALSE,Legal
Rose,Female,91411,8.639,TRUE,Human Resources
John,Male,146907,11.738,FALSE,Engineering
Maria,Female,43455,13.04,FALSE,Engineering
Stephen,,85668,1.909,FALSE,Legal
Donna,Female,82871,17.999,FALSE,Marketing
Gloria,Female,136709,10.331,TRUE,Finance
Alice,Female,47638,11.209,FALSE,Human Resources
Justin,,38344,3.794,FALSE,Legal
Robin,Female,100765,10.982,TRUE,Client Services
Rose,Female,134505,11.051,TRUE,Marketing
Anthony,Male,112769,11.625,TRUE,Finance
Tina,Female,56450,19.04,TRUE,Engineering
George,Male,98874,4.479,TRUE,Marketing
Henry,,132483,16.655,FALSE,Distribution
Phillip,Male,42392,19.675,FALSE,Finance
Russell,Male,96914,1.421,FALSE,Product
Larry,Male,60500,11.985,FALSE,Business Development
Albert,Male,129949,10.169,TRUE,Sales
